rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,Exclusive
2061,1942,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Shooter,Capcom,0.65,0.14,0.21,0,1,Exclusive
8359,.hack//G.U. Vol.1//Rebirth,PS2,PlayStation 2,SONY,6th,N,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,Exclusive
7109,.hack//G.U. Vol.2//Reminisce,PS2,PlayStation 2,SONY,6th,N,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,Exclusive
8604,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,PlayStation 2,SONY,6th,N,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,Exclusive
8306,.hack//G.U. Vol.3//Redemption,PS2,PlayStation 2,SONY,6th,N,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,Exclusive
1565,.hack//Infection Part 1,PS2,PlayStation 2,SONY,6th,N,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,Exclusive
9076,.hack//Link,PSP,PlayStation Portable,SONY,7th,Y,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,Exclusive
3004,.hack//Mutation Part 2,PS2,PlayStation 2,SONY,6th,N,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,Exclusive
4296,.hack//Outbreak Part 3,PS2,PlayStation 2,SONY,6th,N,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,Exclusive
8009,.hack//Quarantine Part 4: The Final Chapter,PS2,PlayStation 2,SONY,6th,N,2003,Role-Playing,Atari,0.09,0.07,0,0.02,0.18,Exclusive
14279,.hack: Sekai no Mukou ni + Versus,PS3,PlayStation 3,SONY,7th,N,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03,Exclusive
2742,[Prototype 2],PS3,PlayStation 3,SONY,7th,N,2012,Action,Activision,0.36,0.28,0,0.11,0.75,Non-Exclusive
2576,[Prototype 2],X360,Xbox 360,Microsoft,7th,N,2012,Action,Activision,0.48,0.25,0,0.07,0.8,Non-Exclusive
1604,[Prototype],PS3,PlayStation 3,SONY,7th,N,2009,Action,Activision,0.65,0.41,0,0.19,1.24,Non-Exclusive
1505,[Prototype],X360,Xbox 360,Microsoft,7th,N,2009,Action,Activision,0.84,0.35,0,0.12,1.31,Non-Exclusive
3770,007 Racing,PS,PlayStation,SONY,5th,N,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,Exclusive
4501,007: Quantum of Solace,PS2,PlayStation 2,SONY,6th,N,2008,Action,Activision,0.17,0,0,0.26,0.43,Non-Exclusive
3040,007: Quantum of Solace,Wii,Nintendo Wii,Nintendo,7th,N,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67,Non-Exclusive
1275,007: Quantum of Solace,X360,Xbox 360,Microsoft,7th,N,2008,Action,Activision,0.82,0.52,0.01,0.14,1.49,Non-Exclusive
