rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
259,Asteroids,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Shooter,Atari,4,0.26,0,0.05,4.31
545,Missile Command,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76
1768,Kaboom!,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Misc,Activision,1.07,0.07,0,0.01,1.15
1971,Defender,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Misc,Atari,0.99,0.05,0,0.01,1.05
2671,Boxing,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77
4027,Ice Hockey,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Sports,Activision,0.46,0.03,0,0.01,0.49
5368,Freeway,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Action,Activision,0.32,0.02,0,0,0.34
6319,Bridge,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Misc,Activision,0.25,0.02,0,0,0.27
6898,Checkers,2600,Atari 2600,Hasbro Interactive,2nd,N,1980,Misc,Atari,0.22,0.01,0,0,0.24
240,Pitfall!,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
736,Frogger,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2
768,Demon Attack,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13
866,E.T.: The Extra Terrestrial,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Atari,1.84,0.11,0,0.02,1.97
1108,Ms. Pac-Man,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65
1155,River Raid,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6
1308,Donkey Kong,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46
1431,Centipede,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36
1558,Atlantis,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27
1850,Megamania,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1
1967,Cosmic Ark,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05
2145,Donkey Kong Junior,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Platform,Atari,0.9,0.05,0,0.01,0.97
2234,Spider-Man,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93
